run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied_w2,order_idx,ts_start_iso,ts_end_iso,dt_applied,renderer,notes
2021_g1.0_e0.1_l0.5,ncaf_2021_0075,0.3686180710792541,0.1108564883470535,1.0,0.1,0.5,0.2,1.2,0.5871572906646215,,74,2025-10-28T00:31:20.336535+00:00,2025-10-28T00:31:20.924713+00:00,0.588166,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0076,0.4410785734653473,0.1703917384147644,1.0,0.1,0.5,0.2,1.2,0.6864980034573531,,75,2025-10-28T00:31:20.926175+00:00,2025-10-28T00:31:21.616882+00:00,0.690682,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0077,0.5266245007514954,0.2554250359535217,1.0,0.1,0.5,0.2,1.2,0.8088206065084421,,76,2025-10-28T00:31:21.618431+00:00,2025-10-28T00:31:22.432044+00:00,0.813602,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0078,0.2443925440311432,0.0953096002340316,1.0,0.1,0.5,0.2,1.2,0.4941531260102164,,77,2025-10-28T00:31:22.432689+00:00,2025-10-28T00:31:22.929244+00:00,0.496519,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0079,0.4106099009513855,0.1791631281375885,1.0,0.1,0.5,0.2,1.2,0.6501712572565055,,78,2025-10-28T00:31:22.930449+00:00,2025-10-28T00:31:23.583153+00:00,0.65269,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0080,0.1606331318616867,0.0739926844835281,1.0,0.1,0.5,0.2,1.2,0.3984569937358229,,79,2025-10-28T00:31:23.585724+00:00,2025-10-28T00:31:23.986978+00:00,0.401243,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0081,0.7078087329864502,0.2981056571006775,1.0,0.1,0.5,0.2,1.2,0.9829595473984066,,80,2025-10-28T00:31:23.988638+00:00,2025-10-28T00:31:24.975277+00:00,0.98662,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0082,0.0609064288437366,0.0796026438474655,1.0,0.1,0.5,0.2,1.2,0.3331117773366767,,81,2025-10-28T00:31:24.976504+00:00,2025-10-28T00:31:25.314699+00:00,0.338186,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0083,0.3014850616455078,0.0709035247564315,1.0,0.1,0.5,0.2,1.2,0.5005090666134199,,82,2025-10-28T00:31:25.316119+00:00,2025-10-28T00:31:25.817897+00:00,0.501767,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0084,0.4493637681007385,0.2909440398216247,1.0,0.1,0.5,0.2,1.2,0.7248142094435226,,83,2025-10-28T00:31:25.820062+00:00,2025-10-28T00:31:26.549041+00:00,0.728963,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0085,0.3174344003200531,0.1668658256530761,1.0,0.1,0.5,0.2,1.2,0.5731007190965758,,84,2025-10-28T00:31:26.552965+00:00,2025-10-28T00:31:27.129774+00:00,0.576758,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0086,0.2347735911607742,0.0861215367913246,1.0,0.1,0.5,0.2,1.2,0.4633202654445239,,85,2025-10-28T00:31:27.130356+00:00,2025-10-28T00:31:27.598597+00:00,0.468227,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0087,0.295004665851593,0.0952813774347305,1.0,0.1,0.5,0.2,1.2,0.5132637895335488,,86,2025-10-28T00:31:27.599915+00:00,2025-10-28T00:31:28.116251+00:00,0.516324,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0088,0.3123221695423126,0.0894463211297988,1.0,0.1,0.5,0.2,1.2,0.5328947949664683,,87,2025-10-28T00:31:28.117325+00:00,2025-10-28T00:31:28.655281+00:00,0.537944,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0089,0.5520166158676147,0.2830893993377685,1.0,0.1,0.5,0.2,1.2,0.8308426985700558,,88,2025-10-28T00:31:28.656318+00:00,2025-10-28T00:31:29.490773+00:00,0.834439,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0090,0.5623931288719177,0.326330304145813,1.0,0.1,0.5,0.2,1.2,0.8827680642242021,,89,2025-10-28T00:31:29.492690+00:00,2025-10-28T00:31:30.376138+00:00,0.883432,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0091,0.2515704333782196,0.0970149785280227,1.0,0.1,0.5,0.2,1.2,0.5057025052773947,,90,2025-10-28T00:31:30.377307+00:00,2025-10-28T00:31:30.888084+00:00,0.510764,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0092,0.3938009142875671,0.0755633860826492,1.0,0.1,0.5,0.2,1.2,0.6046650842070793,,91,2025-10-28T00:31:30.889549+00:00,2025-10-28T00:31:31.499059+00:00,0.609497,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0093,0.1710198372602462,0.0814230516552925,1.0,0.1,0.5,0.2,1.2,0.4081493744269695,,92,2025-10-28T00:31:31.500816+00:00,2025-10-28T00:31:31.913861+00:00,0.413034,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0094,0.1851711422204971,0.0797340422868728,1.0,0.1,0.5,0.2,1.2,0.4012559088662646,,93,2025-10-28T00:31:31.915204+00:00,2025-10-28T00:31:32.320399+00:00,0.405183,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0095,0.5904136300086975,0.3278505206108093,1.0,0.1,0.5,0.2,1.2,0.8728968061003034,,94,2025-10-28T00:31:32.322632+00:00,2025-10-28T00:31:33.200304+00:00,0.877655,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0096,0.2849147021770477,0.130060613155365,1.0,0.1,0.5,0.2,1.2,0.5446769281376188,,95,2025-10-28T00:31:33.201525+00:00,2025-10-28T00:31:33.750421+00:00,0.548883,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0097,0.2020804435014724,0.1405674815177917,1.0,0.1,0.5,0.2,1.2,0.4420425085559749,,96,2025-10-28T00:31:33.755403+00:00,2025-10-28T00:31:34.202372+00:00,0.446957,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0098,0.429050087928772,0.1430052071809768,1.0,0.1,0.5,0.2,1.2,0.6508805179396847,,97,2025-10-28T00:31:34.204161+00:00,2025-10-28T00:31:34.859609+00:00,0.655429,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0099,0.5892406105995178,0.3073084950447082,1.0,0.1,0.5,0.2,1.2,0.8895380292025802,,98,2025-10-28T00:31:34.861369+00:00,2025-10-28T00:31:35.753223+00:00,0.891839,opencv,w3 baseline run
