run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied,order_idx
2021_g1.0_e0.1_l0.5,ncaf_2021_0103,0.5024762153625488,0.24050655961036682,1.0,0.1,0.5,0.2,1.2,0.8340230323736899,,102
2021_g1.0_e0.1_l0.5,ncaf_2021_0104,0.6366480588912964,0.3367703855037689,1.0,0.1,0.5,0.2,1.2,0.9667601835752876,,103
2021_g1.0_e0.1_l0.5,ncaf_2021_0105,0.41443967819213867,0.16286183893680573,1.0,0.1,0.5,0.2,1.2,0.6875077964635082,,104
2021_g1.0_e0.1_l0.5,ncaf_2021_0106,0.17762653529644012,0.07935132086277008,1.0,0.1,0.5,0.2,1.2,0.4194444407738566,,105
2021_g1.0_e0.1_l0.5,ncaf_2021_0107,0.281148225069046,0.07173839956521988,1.0,0.1,0.5,0.2,1.2,0.49035684126504214,,106
2021_g1.0_e0.1_l0.5,ncaf_2021_0108,0.18260350823402405,0.06468605995178223,1.0,0.1,0.5,0.2,1.2,0.40434902176710796,,107
2021_g1.0_e0.1_l0.5,ncaf_2021_0109,0.2509738504886627,0.1007998138666153,1.0,0.1,0.5,0.2,1.2,0.4674747570385877,,108
2021_g1.0_e0.1_l0.5,ncaf_2021_0110,0.2680138945579529,0.1260208785533905,1.0,0.1,0.5,0.2,1.2,0.4950619906543095,,109
2021_g1.0_e0.1_l0.5,ncaf_2021_0111,0.4278475344181061,0.22281627357006073,1.0,0.1,0.5,0.2,1.2,0.6797755344942613,,110
2021_g1.0_e0.1_l0.5,ncaf_2021_0112,0.7717215418815613,0.4134376049041748,1.0,0.1,0.5,0.2,1.2,1.1291422721669537,,111
2021_g1.0_e0.1_l0.5,ncaf_2021_0113,0.3889688551425934,0.20865097641944885,1.0,0.1,0.5,0.2,1.2,0.6887051400232738,,112
2021_g1.0_e0.1_l0.5,ncaf_2021_0114,0.3352917730808258,0.09321510791778564,1.0,0.1,0.5,0.2,1.2,0.5694873459246934,,113
2021_g1.0_e0.1_l0.5,ncaf_2021_0115,0.32938528060913086,0.11883048713207245,1.0,0.1,0.5,0.2,1.2,0.5624005878608069,,114
2021_g1.0_e0.1_l0.5,ncaf_2021_0116,0.3225071132183075,0.1849251687526703,1.0,0.1,0.5,0.2,1.2,0.5717319322204173,,115
2021_g1.0_e0.1_l0.5,ncaf_2021_0117,0.09276596456766129,0.0634908378124237,1.0,0.1,0.5,0.2,1.2,0.3258495553167908,,116
2021_g1.0_e0.1_l0.5,ncaf_2021_0118,0.31069275736808777,0.10588307678699493,1.0,0.1,0.5,0.2,1.2,0.5172110348443667,,117
2021_g1.0_e0.1_l0.5,ncaf_2021_0119,0.8536388874053955,0.5659686326980591,1.0,0.1,0.5,0.2,1.2,1.279642889999348,,118
2021_g1.0_e0.1_l0.5,ncaf_2021_0120,0.2404409945011139,0.07923795282840729,1.0,0.1,0.5,0.2,1.2,0.5157928717795154,,119
2021_g1.0_e0.1_l0.5,ncaf_2021_0121,0.2792302966117859,0.1548265665769577,1.0,0.1,0.5,0.2,1.2,0.5181505791062774,,120
2021_g1.0_e0.1_l0.5,ncaf_2021_0122,0.8557717204093933,0.4665558934211731,1.0,0.1,0.5,0.2,1.2,1.2311648971106517,,121
2021_g1.0_e0.1_l0.5,ncaf_2021_0123,0.6272268891334534,0.36196649074554443,1.0,0.1,0.5,0.2,1.2,0.9971429661139436,,122
2021_g1.0_e0.1_l0.5,ncaf_2021_0124,0.1589493602514267,0.06342130899429321,1.0,0.1,0.5,0.2,1.2,0.42040941264833714,,123
2021_g1.0_e0.1_l0.5,ncaf_2021_0125,0.4614832401275635,0.09454217553138733,1.0,0.1,0.5,0.2,1.2,0.6661520549822091,,124
